rating_class,count,min,max
positive,1,1,1
negative,1,1,1
positive,6,1,1
negative,3,1,1
positive,2,1,1
negative,1,1,1
positive,4,1,1
negative,1,1,1
positive,7,1,1
negative,1,1,1
positive,2,1,1
negative,9,1,1
positive,2,1,1
negative,1,1,1
positive,5,1,1
negative,8,1,1
positive,1,1,1
negative,1,1,1
positive,1,1,1
negative,2,1,1
positive,4,1,1
negative,1,1,1
positive,2,1,1
negative,3,1,1
positive,4,1,1
negative,1,1,1
positive,5,1,1
negative,1,1,1
positive,1,1,1
negative,1,1,1
positive,1,1,1
negative,2,1,1
positive,1,1,1
negative,8,1,1
positive,1,1,1
negative,11,1,1
positive,2,1,1
negative,4,1,1
positive,2,1,1
negative,3,1,1
positive,4,1,1
negative,3,1,1
positive,3,1,1
negative,1,1,1
positive,1,1,1
negative,15,1,1
positive,2,1,1
negative,7,1,1
positive,1,1,1
negative,3,1,1
positive,5,1,1
negative,1,1,1
positive,2,1,1
negative,2,1,1
positive,4,1,1
negative,3,1,1
positive,2,1,1
negative,1,1,1
positive,2,1,1
negative,1,1,1
positive,5,1,1
negative,1,1,1
positive,4,1,1
negative,2,1,1
positive,1,1,1
negative,1,1,1
positive,14,1,1
negative,3,1,1
positive,2,1,1
negative,1,1,1
positive,5,1,1
negative,2,1,1
positive,7,1,1
negative,3,1,1
positive,2,1,1
negative,1,1,1
positive,2,1,1
negative,11,1,1
positive,5,1,1
negative,1,1,1
positive,3,1,1
negative,6,1,1
positive,4,1,1
negative,1,1,1
positive,6,1,1
negative,5,1,1
positive,1,1,1
negative,2,1,1
positive,7,1,1
negative,3,1,1
positive,1,1,1
negative,4,1,1
positive,2,1,1
negative,1,1,1
positive,7,1,1
negative,3,1,1
positive,15,1,1
negative,3,1,1
positive,3,1,1
negative,3,1,1
positive,2,1,1
negative,4,1,1
positive,2,1,1
negative,3,1,1
positive,1,1,1
negative,2,1,1
positive,6,1,1
negative,2,1,1
positive,7,1,1
negative,2,1,1
positive,1,1,1
negative,1,1,1
positive,5,1,1
negative,8,1,1
positive,1,1,1
negative,5,1,1
positive,1,1,1
negative,5,1,1
positive,1,1,1
negative,2,1,1
positive,3,1,1
negative,1,1,1
positive,1,1,1
negative,5,1,1
positive,1,1,1
negative,2,1,1
positive,7,1,1
negative,1,1,1
positive,17,1,1
negative,8,1,1
positive,1,1,1
negative,8,1,1
positive,4,1,1
negative,1,1,1
positive,1,1,1
negative,2,1,1
positive,4,1,1
negative,3,1,1
positive,2,1,1
negative,2,1,1
positive,4,1,1
negative,1,1,1
positive,1,1,1
negative,3,1,1
positive,1,1,1
negative,1,1,1
positive,1,1,1
negative,3,1,1
positive,2,1,1
