,start,end,type,length,num_subjects
0,2,7,positive,6,2
1,14,18,positive,5,1
2,20,31,positive,12,2
3,36,44,negative,9,2
4,45,50,positive,6,2
5,52,65,positive,14,2
6,66,73,negative,8,1
7,79,82,positive,4,1
8,89,95,positive,7,2
9,97,109,positive,13,2
10,117,124,negative,8,2
11,126,136,negative,11,2
12,142,145,negative,4,1
13,152,155,positive,4,1
14,164,179,negative,16,2
15,182,188,negative,7,1
16,194,201,positive,8,1
17,207,210,positive,4,1
18,220,224,positive,5,1
19,226,229,positive,4,1
20,234,247,positive,14,2
21,254,258,positive,5,1
22,261,267,positive,7,1
23,276,286,negative,11,2
24,287,291,positive,5,1
25,296,301,negative,6,2
26,302,305,positive,4,1
27,307,312,positive,6,2
28,313,317,negative,5,2
29,321,327,positive,7,2
30,332,335,negative,4,2
31,339,345,positive,7,3
32,349,363,positive,15,1
33,375,378,negative,4,1
34,387,392,positive,6,1
35,395,401,positive,7,1
36,406,410,positive,5,1
37,411,418,negative,8,3
38,420,424,negative,5,3
39,426,430,negative,5,1
40,439,443,negative,5,2
41,447,453,positive,7,1
42,455,471,positive,17,3
43,472,476,negative,5,1
44,481,488,negative,8,2
45,489,492,positive,4,1
46,497,500,positive,4,2
47,508,511,positive,4,1
